1530710133122,-16.31607,-47.717575,12500,14979310,"E490EE"
1530710133122,37.771774,121.187325,20675,7866670,"78092E"
1530710133122,38.001205,120.93879,26625,7970878,"79A03E"
1530710133122,55.62407,12.649705,,4586548,"45FC34"
1530710133122,36.653742,-4.473948,1300,3950855,"3C4907"
1530710133122,-19.683218,-44.37947,16450,14979266,"E490C2"
1530710133106,63.300896,-17.899586,34000,12610122,"C06A4A"
1530710133090,39.484222,-0.467994,850,3951429,"3C4B45"
1530710133090,0,-2147.483648,,2685595,"28FA9B"
1530710129919,-40.8508,-71.0506,13700,14713555,"E082D3"
1530710133090,-23.407955,-46.392771,4225,14977413,"E48985"
1530710133090,40.083804,-75.015335,0,10845001,"A57B49"
1530710133090,38.163849,25.426512,36000,4510392,"44D2B8"
1530710133090,39.259876,9.044769,0,5054503,"4D2027"
1530710131590,8.718155,116.18987,37000,7868976,"781230"
1530710133090,40.625473,-73.770386,675,11039969,"A874E1"
1530710133090,2.95015,104.992428,32000,7668531,"750333"
1530710131590,43.687739,7.405897,100,5062695,"4D4027"
1530710129919,-26.00399,-48.745861,12850,14974799,"E47F4F"
1530710133090,66.58199,14.716686,38000,3955884,"3C5CAC"
1530710128044,39.652312,-86.22345,6000,10600903,"A1C1C7"
1530710128044,-6.474335,111.065539,31300,9044651,"8A02AB"
1530710133090,36.141911,-86.654778,825,11250452,"ABAB14"
1530710120653,53.25444,24.324829,43300,14309777,"DA5991"
1530710117481,-23.730096,-46.705317,5775,1802627,"1B8183"
1530710117481,0.000992,0,,1722496,"1A4880"
1530710133090,34.006363,-84.572929,1800,11258884,"ABCC04"
1530710133090,47.598068,7.527976,,12613825,"C078C1"
1530710113184,30.36151,122.38841,22375,7868014,"780E6E"
1530710113184,38.515133,121.15369,32125,7865681,"780551"
1530710133090,41.250637,-95.975693,1475,10729290,"A3B74A"
1530710113153,25.068787,121.21114,2375,11039935,"A874BF"
1530710133090,27.928549,113.14286,29100,7867971,"780E43"
1530710133090,41.796741,12.223759,1375,4458898,"440992"
1530710133090,59.650781,30.754805,19175,4344038,"4248E6"
1530710111778,31.4343,121.6229,5575,7865938,"780652"
1530710133090,41.762804,-87.795964,2075,11266940,"ABEB7C"
1530710133090,52.873398,8.75473,2000,4000382,"3D0A7E"
1530710133090,33.934296,-118.434131,1425,10933171,"A6D3B3"
1530710110590,38.295227,-97.971224,3375,11065683,"A8D953"
1530710103356,-2147.483648,0,-200707,33976,"0084B8"
1530710133090,50.027037,8.505868,2100,6824465,"682211"
1530710099903,-2147.483648,0,,236849,"039D31"
