1530711670,51.6589,1.955,10035.54,"UAL47   ","aa9321"
1530711670,26.1694,-82.2846,9875.52,"AAL2567 ","ade18c"
1530711565,37.7018,-76.8419,10050.78,"","ade191"
1530711670,40.5131,-86.9284,12344.4,"SWA1854 ","abd9d9"
1530711670,33.2312,-104.3142,11955.78,"AAL2717 ","ab6fdd"
1530711670,37.9017,-79.1038,11033.76,"DAL478  ","a3b87f"
1530711669,-6.0247,107.0016,1668.78,"CTV491  ","8a02ff"
1530711670,38.6142,-9.3496,2057.4,"SWR2092 ","4b1804"
1530711659,47.4435,8.5663,,"SWR5201 ","4b1806"
1530711670,51.0674,10.6209,3497.58,"DFUNY   ","3d7f8a"
1530711670,54.1363,28.6009,11163.3,"SWR1337 ","4b1801"
1530711669,29.9529,-98.5097,1516.38,"N454MD  ","a5820f"
1530711668,29.9271,-89.867,4267.2,"NKS568  ","a678ef"
1530711572,3.5183,115.7249,10370.82,"LNI2620 ","8a02ef"
1530711670,36.6804,-103.2121,11948.16,"AAL2358 ","acdfa6"
1530711656,22.1014,114.104,4145.28,"AIQ502  ","880449"
1530711657,28.162,-77.8886,10858.5,"DAL323  ","ac4963"
1530711565,31.1924,-78.1666,11849.1,"AAL2537 ","a3b88e"
1530711670,-25.2197,151.1019,11285.22,"JST889  ","7c6b39"
1530711663,-26.1984,28.2376,1927.86,"SAA171  ","00b22c"
1530711670,42.9676,-71.2832,1074.42,"N15406  ","a0db82"
1530711670,33.0237,-111.7001,693.42,"N602    ","a7ceac"
1530711625,26.0213,-81.0284,723.9,"N786AR  ","aaa6e0"
1530711670,30.8085,-84.9232,731.52,"N8030N  ","aaef67"
1530711670,40.3485,-74.0925,1562.1,"N452TX  ","a57b49"
1530711615,52.9097,9.215,1181.1,"DEEPM   ","3d10ca"
1530711670,39.9869,-88.0128,11666.22,"UAL282  ","aa56b5"
1530711523,30.0071,-95.3968,213.36,"UAL2013 ","aa56b8"
1530711669,32.9973,-111.8215,11224.26,"UAL1815 ","aa56b3"
1530711669,39.4671,-77.7187,1257.3,"N994BC  ","ade19b"
1530711445,39.9779,-75.583,373.38,"","a22e7b"
1530711670,35.2991,-101.8573,10355.58,"DAL110  ","ab63d7"
1530711669,27.7462,-83.765,11536.68,"DAL529  ","a46e35"
1530711288,41.697,-71.5255,3086.1,"","a34215"
1530711670,36.4835,-115.1529,11170.92,"SKW4125 ","a2355d"
1530711669,26.1379,-80.4734,617.22,"N905WA  ","ac83b4"
1530711670,47.2123,16.4329,10363.2,"DLH694  ","3c6669"
1530711670,44.7592,9.2133,12100.56,"EWG9NB  ","44028d"
1530711669,46.3863,11.2733,11102.34,"EZY35RV ","44028c"
1530711650,41.2897,2.0834,,"DLH55A  ","3c6666"
1530711519,32.9229,-97.0546,243.84,"AAL2792 ","adeca5"
1530711670,-6.0704,106.653,1234.44,"GIA328  ","8a02d4"
1530711670,-35.3262,138.6583,10660.38,"TFR11   ","c822eb"
1530711571,33.6494,-84.6589,1562.1,"DAL2741 ","a47597"
1530711651,36.2153,-106.0251,11574.78,"AAL453  ","ab0361"
1530711670,50.0803,8.6796,693.42,"DLH1445 ","3c666a"
1530711670,40.4227,-92.047,12009.12,"SWA2162 ","abf008"
1530711668,54.4557,-9.9311,11315.7,"DAL17   ","abb3be"
1530711669,53.4197,29.5106,10157.46,"DLH1448 ","3c666c"
1530711666,-5.9831,107.7967,6918.96,"CTV721  ","8a02ab"
